dataset,prob_selected,edge_method,time_mc,approximation,T,L,time_ic_apporx,rmse,pearson,spearman,auc
Anybeat,0.1,random_0.1,201.879212141037,dmp_ic_fast,10,0,0.16569113731384277,0.22758895916330898,tensor(0.4639),0.7197665543178271,0.7151226209283081
Anybeat,0.1,random_0.1,201.879212141037,dmp_inf,10,0,0.3375203609466553,0.0028605201597287594,tensor(0.9999),0.9994891372447006,0.999992503547006
Anybeat,0.1,random_0.1,201.879212141037,modified_ALE,3,0,0.045822858810424805,0.0634255974918407,tensor(0.9764),0.9682477831563502,0.9961965364808966
Anybeat,0.1,random_0.1,201.879212141037,ALE_heuristic,3,0,0.047809600830078125,0.07896292570201532,tensor(0.9458),0.9377175467386897,0.9977238401409018
Anybeat,0.1,random_0.5,259.291109085083,SWE,2,3,0.06591153144836426,0.008999641356363152,tensor(0.9996),0.9995687912670344,0.9999422191067232
Anybeat,0.1,random_0.5,259.291109085083,um_IC,6,0,0.05991029739379883,0.016942968350276467,tensor(0.9988),0.9987615328775254,0.999907681890969
Anybeat,0.1,random_0.5,259.291109085083,dmp_um_fast,7,0,0.2211894989013672,0.169535532031499,tensor(0.8515),0.8571828352404675,0.9909974085269365
Anybeat,0.1,random_0.5,259.291109085083,Naive,9,0,0.1490764617919922,0.16956080517482522,tensor(0.8519),0.8573300979643514,0.9909932062801527
Anybeat,0.1,random_0.5,259.291109085083,dmp_ic_fast,6,0,0.14991092681884766,0.16934859372617456,tensor(0.8519),0.8575458767455582,0.9910381177926543
Anybeat,0.1,random_0.5,259.291109085083,dmp_inf,6,0,0.3441314697265625,0.005104022531946185,tensor(0.9999),0.9998254086807952,0.9999757057607813
Anybeat,0.1,random_0.5,259.291109085083,modified_ALE,2,0,0.04900002479553223,0.1341729399804416,tensor(0.9283),0.9097089111300327,0.9640018468874615
Anybeat,0.1,random_0.5,259.291109085083,ALE_heuristic,3,0,0.04691362380981445,0.22310855166397334,tensor(0.8914),0.9098051739057359,0.9816657286026189
Anybeat,0.1,random_0.5,261.3730878829956,SWE,2,3,0.06130790710449219,0.009151393942625409,tensor(0.9996),0.9995740707238009,0.9999524620832585
